YEAR	GRID_NAME	SATELLITE	BLACK LIST	USETILEMASK	SATELLITE_COMMENT
2021	SG-19-Y-D	L8		true	
2022	SG-19-Y-D	L8		true	
2023	SG-19-Y-D	L9		true	
2024	SG-19-Y-D	L9		true	
2025	SG-19-Y-D	L9		true	
1996	SG-19-Z-C	L5		true	
1997	SG-19-Z-C	L5		true	
1998	SG-19-Z-C	L5		true	
1999	SG-19-Z-C	L5		true	
2000	SG-19-Z-C	L7		true	
2001	SG-19-Z-C	L7		true	
2002	SG-19-Z-C	L7	LE07_232079_20020517,LE07_232079_20020720,LE07_232079_20020805,LE07_232079_20020906	true	
2003	SG-19-Z-C	L7	LE07_232079_20030520,LE07_232079_20030723,LE07_232079_20030824	true	
2004	SG-19-Z-C	L7		true	
2005	SG-19-Z-C	L7		true	
2006	SG-19-Z-C	L7		true	
2007	SG-19-Z-C	L7		true	
2008	SG-19-Z-C	L7		true	
2009	SG-19-Z-C	L7	LE07_232079_20090301,LE07_232079_20090317,LE07_232079_20090621,LE07_232079_20090723,LE07_232079_20091214,LE07_233079_20090220,LE07_233079_20090308,LE07_233079_20090324,LE07_233079_20090425,LE07_233079_20090511,LE07_233079_20090628	true	
2010	SG-19-Z-C	L7		true	
2011	SG-19-Z-C	L7		true	
2012	SG-19-Z-C	L7		true	
2013	SG-19-Z-C	L8		true	
2014	SG-19-Z-C	L8		true	
2015	SG-19-Z-C	L8		true	
2016	SG-19-Z-C	L8		true	
2017	SG-19-Z-C	L8		true	
2018	SG-19-Z-C	L8		true	
2019	SG-19-Z-C	L8		true	
2020	SG-19-Z-C	L8		true	
2021	SG-19-Z-C	L8		true	
2022	SG-19-Z-C	L8		true	
2023	SG-19-Z-C	L8		true	
2024	SG-19-Z-C	L9		true	
2025	SG-19-Z-C	L8		true	
1996	SI-19-V-A	L5		true	
1997	SI-19-V-A	L5		true	
1998	SI-19-V-A	L5	LT05_001082_19980325,LT05_001082_19980731,LT05_233082_19980809,LT05_233083_19980302,LT05_233083_19980505,LT05_233083_19980622,LT05_233083_19980809	true	
1999	SI-19-V-A	L5		true	
2000	SI-19-V-A	L7		true	
2001	SI-19-V-A	L7		true	
2002	SI-19-V-A	L7		true	
2003	SI-19-V-A	L7		true	
2004	SI-19-V-A	L7		true	
2005	SI-19-V-A	L7		true	
2006	SI-19-V-A	L7		true	
2007	SI-19-V-A	L7		true	
2008	SI-19-V-A	L7		true	
2009	SI-19-V-A	L7		true	
2010	SI-19-V-A	L7		true	
2011	SI-19-V-A	L7		true	
2012	SI-19-V-A	L7		true	satellite anterior (anómalo): 99
2013	SI-19-V-A	L8		true	
2014	SI-19-V-A	L8		true	
